,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
6336,22211,9.3,100.0,100.0,0.0,0.0,48.8
6337,22213,2.1,93.8,92.4,3.1,6.2,1.3
6338,22214,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6339,22301,2.9,92.8,92.6,1.5,7.2,1.2
6340,22302,3.0,90.6,89.9,2.3,9.4,2.4
6341,22303,1.1,88.7,85.6,5.7,11.3,2.3
6342,22304,4.9,84.3,82.8,2.9,15.7,1.6
6343,22305,8.8,68.7,66.9,2.5,31.3,4.5
6344,22306,10.2,73.1,70.7,5.2,26.9,2.7
6345,22307,1.0,93.9,93.7,2.8,6.1,0.8
6346,22308,0.7,97.3,97.3,1.7,2.7,1.0
6347,22309,6.0,73.1,71.4,5.1,26.9,1.9
6348,22310,1.9,89.8,88.9,4.2,10.2,1.3
6349,22311,6.3,73.9,72.6,2.5,26.1,3.7
6350,22312,5.5,73.2,71.2,3.2,26.8,2.8
6351,22314,3.7,94.3,93.5,2.6,5.7,1.9
6352,22315,1.6,93.8,93.4,4.4,6.2,0.9
6353,22401,15.5,81.6,79.0,4.6,18.4,3.5
6354,22405,6.2,91.6,90.3,4.8,8.4,1.4
6355,22406,5.8,91.1,89.6,7.9,8.9,2.1
6356,22407,6.4,86.8,85.4,5.0,13.2,1.2
6357,22408,10.1,87.5,86.1,4.3,12.5,1.8
6358,22427,21.1,80.4,79.2,3.1,19.6,5.6
6359,22432,5.4,80.6,80.6,0.0,19.4,12.3
6360,22433,0.0,91.0,91.0,0.0,9.0,30.6
6361,22435,14.6,78.3,75.1,3.8,21.7,8.4
6362,22436,12.7,81.9,75.0,6.9,18.1,16.5
6363,22437,5.6,77.0,77.0,0.0,23.0,9.0
6364,22438,4.8,94.1,94.1,0.0,5.9,36.7
6365,22443,15.4,67.5,65.3,4.8,32.5,4.5
6366,22448,0.0,97.8,97.8,3.3,2.2,8.2
6367,22454,14.8,79.4,69.0,10.4,20.6,13.0
6368,22460,9.6,86.0,86.0,0.0,14.0,9.8
6369,22469,17.6,59.5,59.5,0.0,40.5,16.8
6370,22473,10.5,76.2,73.2,3.0,23.8,6.2
6371,22476,7.5,89.2,86.1,3.0,10.8,7.8
6372,22480,0.2,88.5,88.5,1.1,11.5,3.8
6373,22482,11.8,75.7,64.5,11.6,24.3,5.9
6374,22485,6.7,89.0,87.3,4.6,11.0,1.8
6375,22488,14.4,89.1,89.1,0.0,10.9,3.5
6376,22503,8.0,85.6,82.8,3.8,14.4,5.8
6377,22504,6.5,100.0,94.0,6.0,0.0,48.8
6378,22508,5.3,88.8,86.4,4.0,11.2,2.8
6379,22509,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6380,22511,4.7,77.4,77.4,0.0,22.6,10.9
6381,22514,14.3,89.6,86.8,4.5,10.4,6.2
6382,22520,12.3,82.9,80.2,6.3,17.1,4.9
6383,22529,8.0,60.8,60.8,0.0,39.2,35.7
6384,22530,0.0,100.0,100.0,0.0,0.0,98.9
6385,22534,11.2,76.7,75.6,1.2,23.3,11.7
6386,22535,15.3,97.7,93.6,7.8,2.3,18.0
6387,22538,0.0,100.0,100.0,0.0,0.0,37.6
6388,22539,4.0,91.2,91.2,0.0,8.8,4.5
6389,22542,14.5,95.0,90.5,5.3,5.0,5.5
6390,22546,11.3,86.6,84.9,4.0,13.4,3.5
6391,22548,0.0,100.0,100.0,0.0,0.0,76.6
6392,22551,10.5,85.3,82.4,5.6,14.7,2.5
6393,22553,4.7,91.7,90.3,3.9,8.3,2.1
6394,22554,3.0,91.0,90.1,4.6,9.0,1.1
6395,22556,5.5,90.1,88.7,4.8,9.9,2.0
6396,22560,15.1,75.1,69.4,8.4,24.9,4.8
6397,22567,8.5,85.4,84.2,5.8,14.6,8.8
6398,22572,10.2,89.9,83.8,7.7,10.1,5.3
6399,22576,8.0,91.1,89.2,1.9,8.9,8.1
6400,22578,3.9,78.9,76.9,4.5,21.1,3.5
6401,22579,0.0,9999999.99,9999999.99,9999999.99,9999999.99,50.9
6402,22580,9.8,80.8,78.6,3.0,19.2,3.2
6403,22601,11.7,78.5,75.3,3.9,21.5,2.7
6404,22602,6.2,86.6,84.5,3.6,13.4,1.8
6405,22603,9.0,82.5,79.4,4.4,17.5,2.0
6406,22610,3.4,81.3,74.6,13.1,18.7,4.1
6407,22611,6.1,87.7,86.3,2.1,12.3,4.2
6408,22620,3.8,95.5,92.7,3.3,4.5,3.4
6409,22623,0.0,100.0,100.0,0.0,0.0,21.3
6410,22624,4.4,90.2,89.8,3.8,9.8,4.7
6411,22625,3.3,93.1,93.1,1.8,6.9,5.0
6412,22627,3.3,93.0,93.0,0.0,7.0,22.0
6413,22630,9.7,86.1,83.4,5.1,13.9,2.1
6414,22637,1.8,94.2,94.2,1.8,5.8,6.8
6415,22639,0.0,95.0,95.0,0.0,5.0,22.2
6416,22640,0.0,82.0,82.0,0.0,18.0,7.6
6417,22641,14.8,84.5,84.5,0.0,15.5,17.0
6418,22642,5.3,83.9,82.8,3.3,16.1,8.8
6419,22643,0.0,100.0,100.0,0.0,0.0,59.3
6420,22644,9.7,89.1,88.1,1.0,10.9,7.7
6421,22645,7.0,79.1,78.7,1.8,20.9,4.9
6422,22646,0.0,100.0,100.0,5.7,0.0,40.0
6423,22650,7.6,83.1,81.9,1.3,16.9,11.5
6424,22652,3.7,82.1,82.1,0.0,17.9,11.6
