Zipcode,MedianIncome
ZCTA5 01840,32367.00
ZCTA5 01841,43920.00
ZCTA5 01843,68587.00
ZCTA5 01844,100544.00
ZCTA5 01845,51556.00
ZCTA5 01850,52031.00
ZCTA5 01851,48690.00
ZCTA5 01852,42948.00
ZCTA5 01854,80508.00
ZCTA5 01860,98305.00
ZCTA5 01862,74695.00
ZCTA5 01863,112419.00
ZCTA5 01864,104472.00
ZCTA5 01867,88794.00
ZCTA5 01876,93108.00
ZCTA5 01879,85694.00
ZCTA5 01880,125143.00
ZCTA5 01886,100536.00
ZCTA5 01887,141829.00
ZCTA5 01890,22614.00
ZCTA5 01901,37786.00
ZCTA5 01902,81258.00
ZCTA5 01904,47694.00
ZCTA5 01905,76141.00
ZCTA5 01906,96510.00
ZCTA5 01907,65083.00
ZCTA5 01908,76463.00
ZCTA5 01913,73980.00
ZCTA5 01915,127813.00
ZCTA5 01921,111806.00
ZCTA5 01922,77404.00
ZCTA5 01923,89185.00
ZCTA5 01929,60229.00
ZCTA5 01930,
ZCTA5 01937,77901.00
ZCTA5 01938,109099.00
ZCTA5 01940,89313.00
ZCTA5 01944,100709.00
ZCTA5 01945,105646.00
ZCTA5 01949,83149.00
ZCTA5 01950,90969.00
ZCTA5 01951,75995.00
ZCTA5 01952,62137.00
ZCTA5 01960,70288.00
ZCTA5 01966,85994.00
ZCTA5 01969,58937.00
ZCTA5 01970,108558.00
ZCTA5 01982,121157.00
ZCTA5 01983,116875.00
ZCTA5 01984,122969.00
ZCTA5 01985,87417.00
ZCTA5 02019,90878.00
ZCTA5 02021,117679.00
ZCTA5 02025,85558.00
ZCTA5 02026,176250.00
ZCTA5 02030,81513.00
ZCTA5 02032,94538.00
ZCTA5 02035,101980.00
ZCTA5 02038,103350.00
ZCTA5 02043,77440.00
ZCTA5 02045,
ZCTA5 02047,93082.00
ZCTA5 02048,88750.00
ZCTA5 02050,143641.00
ZCTA5 02052,109841.00
ZCTA5 02053,96773.00
ZCTA5 02054,143682.00
ZCTA5 02056,110671.00
ZCTA5 02061,79963.00
ZCTA5 02062,104275.00
ZCTA5 02066,126773.00
ZCTA5 02067,121635.00
ZCTA5 02071,74688.00
ZCTA5 02072,90470.00
ZCTA5 02081,128813.00
ZCTA5 02090,99302.00
ZCTA5 02093,99187.00
ZCTA5 02108,104393.00
ZCTA5 02109,115208.00
ZCTA5 02110,50783.00
ZCTA5 02111,69398.00
ZCTA5 02113,86601.00
ZCTA5 02114,27456.00
ZCTA5 02115,93605.00
ZCTA5 02116,62208.00
ZCTA5 02118,27159.00
ZCTA5 02119,32828.00
ZCTA5 02120,26530.00
ZCTA5 02121,53576.00
ZCTA5 02122,47297.00
ZCTA5 02124,45581.00
ZCTA5 02125,44792.00
ZCTA5 02126,72472.00
ZCTA5 02127,50336.00
ZCTA5 02128,87387.00
ZCTA5 02129,78204.00
ZCTA5 02130,63876.00
ZCTA5 02131,86233.00
ZCTA5 02132,38507.00
ZCTA5 02134,46858.00
ZCTA5 02135,61101.00
ZCTA5 02136,78534.00
ZCTA5 02138,73819.00
ZCTA5 02139,75658.00
ZCTA5 02140,66701.00
ZCTA5 02141,104014.00
ZCTA5 02142,67461.00
ZCTA5 02143,79435.00
ZCTA5 02144,55774.00
ZCTA5 02145,55407.00
ZCTA5 02148,51133.00
ZCTA5 02149,48775.00
ZCTA5 02150,50881.00
ZCTA5 02151,64169.00
ZCTA5 02152,77945.00
ZCTA5 02155,48646.00
ZCTA5 02163,60775.00
ZCTA5 02169,63201.00
ZCTA5 02170,72638.00
ZCTA5 02171,86409.00
ZCTA5 02176,76218.00
ZCTA5 02180,87500.00
ZCTA5 02184,113087.00
ZCTA5 02186,70414.00
ZCTA5 02188,60537.00
ZCTA5 02189,77471.00
ZCTA5 02190,67015.00
ZCTA5 02191,110284.00
ZCTA5 02199,
ZCTA5 02203,113622.00
ZCTA5 02210,36719.00
ZCTA5 02215,43694.00
ZCTA5 02301,60171.00
ZCTA5 02302,78750.00
ZCTA5 02322,88481.00
ZCTA5 02324,72804.00
ZCTA5 02330,120253.00
ZCTA5 02332,88534.00
ZCTA5 02333,69917.00
ZCTA5 02338,98750.00
ZCTA5 02339,93771.00
ZCTA5 02341,62909.00
ZCTA5 02343,75727.00
ZCTA5 02346,82418.00
ZCTA5 02347,81500.00
ZCTA5 02351,106989.00
ZCTA5 02356,
ZCTA5 02357,89954.00
ZCTA5 02359,76925.00
ZCTA5 02360,86339.00
ZCTA5 02364,
ZCTA5 02366,94505.00
ZCTA5 02367,63325.00
ZCTA5 02368,66860.00
ZCTA5 02370,86695.00
ZCTA5 02375,81573.00
ZCTA5 02379,76494.00
ZCTA5 02382,137109.00
ZCTA5 02420,138202.00
ZCTA5 02421,95895.00
ZCTA5 02445,79289.00
ZCTA5 02446,81182.00
ZCTA5 02451,74289.00
ZCTA5 02452,67721.00
ZCTA5 02453,
ZCTA5 02457,91672.00
ZCTA5 02458,135685.00
ZCTA5 02459,103800.00
ZCTA5 02460,131125.00
ZCTA5 02461,83500.00
ZCTA5 02462,87428.00
ZCTA5 02464,131853.00
ZCTA5 02465,105106.00
ZCTA5 02466,113146.00
ZCTA5 02467,203009.00
ZCTA5 02468,86522.00
ZCTA5 02472,89466.00
ZCTA5 02474,97647.00
ZCTA5 02476,106172.00
ZCTA5 02478,177083.00
ZCTA5 02481,139811.00
ZCTA5 02482,138734.00
ZCTA5 02492,201200.00
ZCTA5 02493,112115.00
ZCTA5 02494,61325.00
ZCTA5 02532,72069.00
ZCTA5 02534,66875.00
ZCTA5 02535,62924.00
ZCTA5 02536,81892.00
ZCTA5 02537,58814.00
ZCTA5 02538,56911.00
ZCTA5 02539,61417.00
ZCTA5 02540,45970.00
ZCTA5 02542,63828.00
ZCTA5 02543,42341.00
ZCTA5 02553,86766.00
ZCTA5 02554,90399.00
ZCTA5 02556,80225.00
ZCTA5 02557,43900.00
ZCTA5 02558,67759.00
ZCTA5 02559,88242.00
ZCTA5 02561,66579.00
ZCTA5 02562,82238.00
ZCTA5 02563,83583.00
ZCTA5 02564,42727.00
ZCTA5 02568,57750.00
ZCTA5 02571,73843.00
ZCTA5 02575,81120.00
ZCTA5 02576,
